id,Текст Сообщения,Тематика,Ответственное лицо,Ответственное,persons
1741,<p>нужный вывести собранный мусор</p>,несанкционированный свалка твёрдый бытовой отход,Администрация Центрального округа города Курска,28,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
1452,"<p>добрый день. &nbsp; дорога ведущий школа &nbsp; дом 1, 2, 3, &nbsp;4а, &nbsp;плохо очистить снега, снег образоваться лед, каждый утро пробка этот двор ввиду скопление автомобиль который мочь подняться школа улица светлая, утро внушительный поток авто такой небольшой дворика, родитель привозить школа ребёнок 8 утро местный житель выезжать работу.</p><p>просить принять мера ликвидация снег лёд дороге.&nbsp;</p>",очистка снег наледь дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1537,"<p>просить передать мой обращение кореневский атп. шторка автобус это хорошо, мочь руководитель принять решение убрать шторка паз-32053, гос. № ава 768 46. шторка это лишний пылесборник , вместо шторка затонировать верхний окошки.&nbsp;</p>",неудовлетворительный санитарный состояние транспорт осуществление муниципальный (пригородных) перевозка,Администрация Кореневского района,10,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2876,работать фонарь,неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
351,"<p>куча мусор несанкционированный стоянка прилегать территория пересечение ул береговая- ендовищенская, недавно городской субботник. почему собственник территория позаботиться уборке?</p>",неудовлетворительный уборка улица тротуар,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1393,"<p>ич данный участок улица небольшой подъем, который сплошной лёд. машина мочь подняться.</p>",очистка снег наледь дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
2024,"дорога напротив детский садик теремок находиться удручающий состоянии, ям зимы. прошлый год заделать битум щебенкой. год стать просьба исправить ситуацию. этот участок дорога приходиться ввозить ребёнок школа школьный автобус , машина родителям￼￼￼￼. также участок отсутствовать пешеходный дорожка, ввести безопасно ребёнок садик школа просьба посодействовать тоже.￼",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Администрация Медвенского района,15,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
656,"<p>добрый день уважаемый администрация город курск. ооо терра положить новый асфальтовый покрытие доп, бордюрный &nbsp;камень везде заменили, &nbsp;тротуар ул, серёгин 29 вообще проигнорировал….&nbsp;</p><p><br data-cke-filler=`true`></p><p>https://vmeste46.ru/problems/particular/65089/</p>",необходимо строительство тротуар,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
480,<p>возле д. 3 40-й переулок больший яма. место собираться ребёнок близкий улица играть футбол.</p>,нарушение дорожный покрытие (ямы) дорога микрорайон ижс,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2760,просить сделать освещение улица память путём установка два столб монтаж два фонарь напротив дом 57 59. вечерний время невозможно страшно гулять. освещение отсутствовать совсем.,неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2928,свалка мусор контейнерный площадка,соответствовать установленный норма сбор вывоз твёрдый бытовой отход район многоквартирный дом,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1780,"<p>ть район дом майский бульвар 26 30, территория самовольно расположить гаражей, происходить странный ситуация - &nbsp;из-под один гараж течь ручей! где-то неделя течет. лично вариант почему так. &nbsp;а. прорвать трубу. б. бесплатный вода природы. в. гараж удерживать воду. &nbsp;ть любой случай намечаться какой-то авария.</p>",водоотведение,Администрация Центрального округа города Курска,28,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
2930,полность отсутствовать люк колодца.,отсутствие люковый коммуникационный колодец,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2476,"просить предоставить перечень необходимый документ оформление президентский пособие 1-й ребёнок (10627 руб.). брак зарегистрирован. ребёнок 1, 4 год данный момент. пособие оформляться повторно. форма должный справка доходах? просить дать подробный информацию, мфц консультант информировать разному.",нарушение вопрос назначение выплата пособие компенсация,Комитет социальной защиты населения города Курска,62,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
1308,"<p>здравствуйте. обращаться житель дом адрес ул.союзный 73</p><p>общежитие требовать полностью капитальный ремонта. это ремонт крыши, подвала, инженерный систем, подъезд коридоров, замена окно частично полов.</p><p>согласный технический паспорт общежитие построить 1977г. ремонт производиться время постройки.</p><p>&nbsp;с 1 июнь 2021 наш дом перейти управление ооо истра 0 баланс запустить состояние.</p><p>&nbsp;произвести ремонт соберать средство предусмотренный тариф невозможно.</p><p>15 ноябрь 2012 год прорыв теплоузле, житель тепло 4 дня. заменить аварийный участок, оставаться риск повторный прорывов. ржавое, подвал постоянно вода, гниёт.состояние теплоузел находиться кретин состояние, необходимо менять, ремонтировать нецелесообразно.ь касаться инженерный систем.</p><p>16 ноябрь 2021г происходить авария сеть муп водоканал следствие житель 4, 5 этаж наш дом сей день холодный воды.</p><p>начаться дождь потечь крыша, который ремонтировалась.</p><p>винтеляционный шахта разрушены.</p><p>ть общий ситуация жуткая, необходимо срочно принимать какой меры.</p><p>&nbsp;телефон обратный связи:89997453340</p><p>старший дом гладилин нина викторовна</p>",некачественный водоснабжение многоквартирный дом,Государственная жилищная инспекция Курской области,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
15,<p>сообщать появиться неприятный запах грибной радуги</p>,неприятный запах,Комитет природных ресурсов Курской области,59,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
970,"<p>ть являться мама 5 детей. ребёнок инвалид, червяковый мария николаевич получать положить закон медикамент июнь месяц 2021 года. просить принять меры.</p>",нарушение связанный обеспечение лекарственный средство,Комитет здравоохранения Курской области,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2141,"24 апрель 2021 год 13 час 18 минута выявить факт размещение транспортный средство `ленд ровер дискавери 3` государственный регистрационный знак е700кн777 участок земли, иметь искусственный покрытия, район дом №110 улица пучковке, являться нарушение правило благоустройство территории. просить привлечь водитель данный транспортный средство административный ответственности, предусмотреть статья 28 закон `об административный правонарушение курский области`",парковка дорога граница городской округ сельский поселение,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1135,<p>здравствуйте. отсутствовать решётка ливневках. выше ул. боец 9 дивизия тот картина</p>,ливневый канализация,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1612,"<p>хотеться <span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`>кпатп-1 убрать </span><span style=`background-color:rgb(255,255,255);color:rgb(119,119,119);`>пазик гос.№ ар 977 46 шторки. автобус ходить маршрут курск-конышевка. хотеться видеть данный пазик терминал безналичный оплаты, терминал должный закрепить кронштейн , никто мешать. вместо шторка затонировать стекло , стекло тонировать весь периметру, достаточно затонировать верхний часть ровня форточками, стекло водитель (лобовое) желательно тонировать -этый мешать водитель следить дорогой. &nbsp;хотеться провести генеральный уборка пазик убрать весь мусор капота. также затонировать стекло ( перегородке, отделять место водитель салон), шторка это пылесборник который мешать пассажирм.</span></p>",неудовлетворительный санитарный состояние транспорт осуществление внутриобластной междугородный перевозка,Комитет транспорта и автомобильных дорог Курской области,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
1736,"<p>провалиться люк, нужно произвести ремонт установить ровно.&nbsp;</p>",отсутствие люковый коммуникационный колодец,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1035,"<p>ям начало движение ул сумский дом № 38 № 36 глубокий &nbsp;ям вьезде,чтый затруднять движение транспорт двор них</p>",нарушение дорожный покрытие (ямы) дорога региональный межмуниципальный значение,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
565,"<p>здравствуйте! подскажите, пожалуйста, мочь получить выплата вакцинация &nbsp;covid-19 пенсионеры: 1. прошедшее вакцинация апрель 2021 г. ; 2. прошедшее вакцинация рубеж (февраль апрель 2021г.). спасибо.&nbsp;</p>",нарушение вопрос назначение выплата пособие компенсация,"Комитет социального обеспечения, материнства и детства Курской области",61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
512,"<p>добрый дня. улица дружининский пересечение её улица пионер пересечение улица нижний луговой практически отсутствовать тротуар, чётный сторона улица , нечётный &nbsp;стороны. прохожий жить улица дружининский вынудить идти проезжий части. &nbsp;некоторое водитель соблюдать скоростной режим , привести дтп пешеходами. нужно , что-то делать этот ситуация повторяться &nbsp;из год год. зимой - гололёд , перила - человек мочь забраться спуститься горки.</p>",необходимо строительство тротуар,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
872,"<p>здравствуйте. ранее обращаться повод аварийной, засохшей, трещать берёза 4 6 дом 40-й переулок (обращение 97242 начало июля). &nbsp;проблема решена, комиссия - неизвестно, никакой информация принять решение - ничего! автоматически закрыть обрашение - все. сообщите, &nbsp;пожалуйста, &nbsp;чтый решить этот вопросу?</p>",аварийный дерево,Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
875,<p>около дорога двигаться смп развилка ивановский дача - шахтёр &nbsp;продолжать увеличиваться свалка</p>,несанкционированный свалка твёрдый бытовой отход,Администрация города Железногорска,33,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
1424,"просить оборудовать нерегулируемый пешеходный переход (установить дорожный знак 5.19.1, 5.19.2, нанести разметка 1.14.1) проезжий часть выгонный переулок тротуар улица 50 год октябрь тротуар район дом 2/133-а выгонный переулку. дать траектория наблюдаться интенсивный движение пешеход сторона остановка общественный транспорт `улица аэродромная` сторона перекрёсток 50 год октябрь аэродромной, также обратный направлении. снимок 2020 год указанный место видный остаток разметки.",пешеходный переход дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
959,"<p>добрый день! май 2021 года, обращаться единый номер круглосуточный линия энергетик (8 800 200 0 220), заявка нависать ветка дерево линия электропередач, находиться баланс пао `россети` (филиал курскэнерго). решение заявка обещать сообщить течение месяца. решение сообщить было. бригада место обращение выезжала. проблема актуальный сей пор. учёт ухудшение погодный условие приход осени, следствие усиление порыв ветра, вероятность слом ветка обрыв линия многократно возрастает. просить выслать бригада решение проблема месте. &nbsp;длить связь житель дом просить использовать следующий номер телефонов: +7-910-279-88-03 татьяна терентьевна, +7-910-679-92-43 галина сергеевна.</p><p>ть дом проживать пожилой человек, предоставить фотография настоящий момент возможности, просить понять принять заявка фотографий. расположение проблемный дерево указать карте.</p><p>с уважение мезенцев ярослав сергеевич</p><p>+7977 845 46 47</p>",аварийный дерево,Администрация Курского района,11,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
2603,просить осуществить отлов собака адрес дейнека 7/1 двор дейнека 9.ряд находиться автохозяйство территория который свора собака выть ночам.ть течение день собака кидаться проходить людей.ть дом женский консультация девочка беременный ходят.прять меры.,безнадзорный животное,Комитет городского хозяйства города Курска,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1695,"<p>здравствуйте.</p><p>после реконструкция проезжий часть ул. республиканский программа бкад, происходить затопление тротуар улица республиканский сторона пожарный части. рядом находиться трамвайный остановка, подойти который дождь практически невозможно. рядом находиться несколько крупный предприятий, сотня человек вынудить ходить тротуару, газонам.</p>",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1862,"поворот улица карла маркс европа 10 люк провалиться асфальт. ранее 2019-2020 год замена асфальт полная, вид того, место размещение колодец нарушить технология укладка асфальта-вместо бетонный кольцо использовать битый кирпич,покрытие провалилось.",отсутствие твёрдый дорожный покрытие дорога граница городской округ сельский поселение,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2991,"добрый день! оформить свой ребёнок дворец пионер школьников, посредством регистрация система навигатор электронно. данный момент подписать договор предоставоение услуга доп образованию. дворец пионер сообщить мне, должный подписать ещё согласие обработка передача мой персональный данные данные мой детей. противный случай мой ребёнок быть допустить занятиям. хотеть предоставлять свой персональный данные, иметь законный права. говориться постановление 13.04.2021#358 п.17.. разрешить данный вопрос возникнуть отношение мой ребёнок лицо дворец пионер школьников? ответ просить предоставить адрес : tchernyshova.angel@yandex.ru уважением, чернышов а.а.",неудовлетворительный материально-технический обеспечение учреждение дополнительный образование,Комитет образования города Курска,50,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
1118,"<p><span style=`background-color:rgb(255,255,255);color:rgb(32,33,36);`>под мой снилс поликлиника “обуза кгб #1 им. н.с. короткова” внести дать вакцинация другой человека! результат мочь внести реестр мой дать вакцинации. предыдущий обращение проигнорировано, дать сей пора реестре, обращение истечь срок рассмотрения.</span><br><span style=`background-color:rgb(255,255,255);color:rgb(32,33,36);`>требовать удалить дать реестр вакцинировать мой снилс. противный случай вопрос прийтись решать судебный порядке, привлечение обл. минздрав администрация дать поликлиники.</span></p>",сертификат вакцинировать,Комитет здравоохранения Курской области,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
341,"<p><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>добрый день, обращаться нижеизложенный вопрос 4кв. 2020 года, получить ответ, данный вопрос рассмотреть 2021 году. просить дать ответ, рассмотреть вопрос, нет, принять решение. &nbsp;просить дать развёрнутый, понятный ответ. вопрос: во&nbsp;время ежедневный затруднение движение по&nbsp;в.</span><span style=`color:rgb(102,102,102);`>луговой</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`> в&nbsp;сторона ул. запольная, машина заезжать в&nbsp;тупик, на&nbsp;ул.</span><span style=`color:rgb(102,102,102);`>к.либкнехта</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>, в&nbsp;район дом 65–74. который приходиться разворачивается. просить установить знак 6.8.1–6.8.3 «</span><strong>тупик</strong><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>», на&nbsp;пересечение улица </span><span style=`color:rgb(102,102,102);`>к.либкнехта</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`> и&nbsp;</span><span style=`color:rgb(102,102,102);`>суворовская</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>, на&nbsp;угла возле кафе </span><span style=`color:rgb(102,102,102);`>лайлак</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>. спасибо.</span></p>",дорожный знак дорога микрорайон ижс,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2644,неудовлетворительный состояние остановка,неудовлетворительный уборка улица тротуар,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1293,<p>переть сильный дождь протекать стена квартире</p>,длительный неисполнение заявка управлять компания,Государственная жилищная инспекция Курской области,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
1672,"<p><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>во&nbsp;время ежедневный затруднение движение по&nbsp;в.</span><span style=`color:rgb(102,102,102);`>луговой</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`> в&nbsp;сторона ул. запольная, машина заезжать в&nbsp;тупик, на&nbsp;ул.</span><span style=`color:rgb(102,102,102);`>к.либкнехта</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>, в&nbsp;район дом 65–74. который приходиться разворачивается. человек жалуются. просить установить знак 6.8.1–6.8.3 «</span><strong>тупик</strong><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>», на&nbsp;пересечение улица </span><span style=`color:rgb(102,102,102);`>к.либкнехта</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`> и&nbsp;</span><span style=`color:rgb(102,102,102);`>суворовская</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>, на&nbsp;угла возле кафе </span><span style=`color:rgb(102,102,102);`>лайлак</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>. спасибо. прошлый год отписка, рассмотрим, итог рассмотрели. решение будет, быть обращаться сц губернатор приложение скрин ваш ответов, перенаправление обещаний.&nbsp;</span></p>",дорожный знак дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
176,"<p>здравствуйте!&nbsp;</p><p>хотать поинтересоваться, добираться суджа льгов? автобус электрички, пустить электричка электричку, стоить пустить электричку? человек добираться? мы ещё писать пустить электричку? ответ просьба писать дать маршрут низкий пассажиропаток, писать конкретный факт разный пургу. отправление льгов сделать 10:25 отправление суджа сделать такой образ прибывать льгов 19:10</p>",необходимо назначение дополнительный поезд,Комитет транспорта и автомобильных дорог Курской области,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
2864,диспетчер управлять компания,длительный неисполнение заявка управлять компания,Государственная жилищная инспекция Курской области,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
2158,добрый день! улица горняк рядом дом 2 неудовлетворительный состояние находиться ливневый канализация. просить принять меры.,ливневый канализация,Администрация города Железногорска,33,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
2412,"здравствуйте. обращаться лицо житель 2-й кленовый переулок близлежащий улица просьба сделать твёрдый дорожный покрытие б/у асфальт участок 3-й 2-й кленовый переулок (отметить фото карта красный цветом). 87м! дело том, остановка проспект дружба расположить так, путь несколько короче, обходить ул. кленовый (см. фото). проспект дружба 3-й кленовый переулок место сделать твёрдый покрытие, далёкий оставить 87м грязь луж. ходить людей, человек вынудить идти колено грязь 21 веке! срезать дорожный покрытие ул. 50 год октябрь район автовокзала, это недалеко, огромный просьба от житель привезти туда несколько машина старое асфальт разровнять его!",отсутствие твёрдый дорожный покрытие дорога граница городской округ сельский поселение,Администрация Центрального округа города Курска,28,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
283,"<p><strong>уже течение несколько месяц продавец ларёк союзпечать кормить голубеть остановка центральный рынок (тц олимпийский) замечание реагирует, весь остановка скамейка голубиный фекалия больший опасность заразиться&nbsp;</strong><span style=`background-color:white;color:black;`>орнитоз принять пожалуйста срочно мера неадекватный женщине</span><br><br><br data-cke-filler=`true`></p>",неудовлетворительный уборка улица тротуар,Администрация города Курска,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
