id,Текст Сообщения,Тематика,Ответственное лицо,Категория,Ответственное,persons
1900,"здравствуйте, д. старый бузец 3 день чистить дорога снега. возможность выехать работу. работать такси, аренда автомобиль необходимо платить, выехать второй день могу. стоить посреди дороги, застрять снегу, который лёд.",очистка снег наледь дорога граница городской округ сельский поселение,Администрация Железногорского района,0.0,5,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1852,"ооо управлять компания «мыть дом» лицо учредитель ситниковый кристина мгерович генеральный директор некрасов инна юриевич рассылать квитанция оплата «управление» многоквартирный жилой домом: город курск, улица орловская, дом 1 «а» необоснованный задолженностью. просьба оказать посильный помощь разобраться происходить (после праздников), спасибо.",нарушение вопрос оплата услуга жкх,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
478,"<p>добрый день, я ранее опубликовать сообщение ( сообщение №:&nbsp;91063 17.05.2021) неудовлетворительный содержание детский площадки, адрес г. курск ул. боец 9 дивизии, д.199 а. государственный жилищный инспекция курский область дать ответ том, данный вопрос направить рассмотрение администрация г.курска. хотеться узнать дальнейший решение вопросу.</p>",неудовлетворительный содержание детский (спортивной) площадка территория многоквартирный дом,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2239,отсутствие люк,отсутствие люковый коммуникационный колодец,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1635,"<p>добрый день. просить помощь решение наш проблемы! двор дом орловский 12 дом орловский 16, протяжение многий год находиться яма, который постоянно находиться водой. проехать машина невозможно, пройти пешком.</p>",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет городского хозяйства города Курска,0.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
469,"<p>ть центр города, архитектурный форма рассыпаться глазах. судить огромный трещина - необходимый капитальный ремонт.</p>",несвоевременный (некачественный) текущий ремонт многоквартирный дом,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
304,<p>старое гараж рядом звёздный 11а. вокруг закидать мусор бутылками.</p>,неудовлетворительный уборка улица тротуар,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
630,<p>дорога&nbsp;</p>,нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
849,"<p>добрый день. сегодня 17.08.2021 напротив мой дом произойти дтп участие пешехода. давно проводиться благоустройство парк выложить тротуарный плитка выход сам парк дороге. сожалению, переход проезжий часть выход обезопасить пешеходный переходом. данный участок дорога протяжение многий год являться наиболее кроткий способ попасть проезжий часть частный сектор постройка пользоваться большой популярность гражданин престарелый возраст школьников. переход светофором, который установить недалеко место исправить ситуация человек переходить дорога ниже направление апз-20, переходят. просить рассмотреть вариант установка знак “пешеходный переход” нанесение соответствовать разметка данный участок цель предотвращение возможный несчастный случай участие пешеходов, также урегулирование скоростной режим транспортный средств, который многократно превышать скоростной лимит данный участок дорога ночной время суток, самый подвергать дополнительный опасность граждан. благодарить содействие. роман</p>",пешеходный переход дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1240,"<p>ич улица разин 9 дом практически полностью отсутствовать тратуар. приходиться взрослый ребёнок &nbsp;ходить проезжий часть дороги, безопасно., тратуар вообще реально пройти-можно остаться ног,. улица идти гору, приводить постоянный проблема особенно зимний период. очень надеяться ваш решение проблемы! уличком</p>",необходимо строительство тротуар,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1381,"<p>отсутствовать освещение дороги&nbsp;</p><p>от начало проспект победы, числе, район пешеходный переход остановка метеостанция сторона улица тамчишина вдоль аллея славы, создавать опасность аварийный ситуации.</p>",неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3.0,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2295,просить включить мой семья очередь получение материальный помощь,социальный льгота,Администрация города Курска,6.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1650,"<p>здравствуйте.так ранее написать сообщение <span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>№:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`>126712, вовремя решить описать проблема,хотеться напомнить снова.ть сообщение №126712 написано,чтый администрация цо,быть направленный </span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>уведомление адрес тсж № 102&nbsp;ый необходимость проведение работа наведение должный санитарный порядок указанный адресу.хотеться попросить администрацию,чтоба повторно направить уведоление тсж 102,с напоминание необходимость наведение санитарный порядка,так данный участок мусор сухой листва продолжать лежать)так хотеться попросить убрать наконец-то сухой пенить который лежать год выкорчевывания.</span></p>",неудовлетворительный содержание клумба газон,Администрация Центрального округа города Курска,3.0,28,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
502,"<p>добрый день! просьба разобраться ситуации, возникнуть дом ул. орловский 1, подъезд 5. вечером 14 июнь 2021 отключить подача холодный вода связь прорыв один квартир. сегодня, 16 июнь 2021 планово отключить горячий вода весь северо-западный микрорайону. итогу, квартира холодной, горячий воды. управлять компания жилкомплекс &nbsp;дружба ситуация решает. &nbsp;ть квартира капля воды, делать жилец несовершеннолетний детям, проживать данный подъезде?</p>",некачественный водоснабжение многоквартирный дом,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2353,засореный ливневый канализация.,ливневый канализация,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2182,"постоянно убирать территория крайний дом проспект анатолий дериглазов снт «фестивальное», «воз ныне там», информация дачник земельный участок, который помойка 24 7, продать председатель снт несанкционированный полигон отход хозяева. виноватый делать? квартира дериглазов дачный участок снт «фестивальное», этот ситуация достала, бак снт? непонятно! 1 2 бак такой огромный снт это позор, повод гадить.",несанкционированный свалка твёрдый бытовой отход,Комитет природных ресурсов Курской области,16.0,59,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1086,"<p>напротив оп 412 км (по жд) воляться спилинный ветки, очень мусора, хотеться собственник инфраструктура навести порядок возле свой места, также конец выпилить дикоростущий растения. понимать часть сухой ветка воляются, наш безумный молодёжа взять пополнить, рядом дома, погореть все.&nbsp;</p><p>надеяться понимание.&nbsp;</p>",нарушение правило пожарный безопасность сфера природопользование,Администрация Курчатовского района,16.0,12,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1540,"<p>ть подвал дом <span style=`color:rgb(34,34,204);`>по адрес ул.запольная, д.41а</span> произойти прорыв канализационный трубы. канализационный сток удалены, появиться большой количество мошки. наш стоматология `эстедент` находиться стенка подвальный помещения, весь мошка неприятный запах переходить медицинский учреждение!!! поступать жалоба пациент сотрудник стоматологии!!! такой условие работать невозможно!!!</p><p>10 февраль 2022г. &nbsp;ич почта &nbsp;ооо “ук курска” диспетчерская служба ук оставить заявка проведение дезинсекция подвальный помещении, просьба краткий срок решить проблему!&nbsp;</p><p>на&nbsp; 16.02.2022г. проблема решена, дезинсекция проведена,канализационный сток удалены, мошка огромный количество &nbsp;благополучный летать подвале, лично убедиться этом, посетить его, &nbsp;медицинский учреждении! &nbsp;каждый день звонить ук, результат нет, сегодня дозвониться удалось!&nbsp;ть подтверждение прикреплять фото подоконник кабинет стоматология заявка ооо “ук курска” лицо директор клиники.</p><p>убедительный просьба помочь решение проблемы, т.к. из-за невыполнение обязанность “ук &nbsp;курска”, находиться антисанитарийный условиях!</p><p><br data-cke-filler=`true`></p>",длительный неисполнение заявка управлять компания,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
1963,"программа «год дорог» проходить работа который проходить ремонт дорожный полотно район дом белгородский 20, знак завершение убрали, штырь земля остались, парковаться разодрать дно авто повиснуть них, просить срезать извлечь краткий срок",дорожный знак дорога микрорайон ижс,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
1190,"<p>здравствуйте! ул. энгельс (слева здание ифнс г. курску) расположить повредить столб уличный освещения, просить обратить внимание объект решить дальнейший судьбу.</p>",неработающий наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3.0,46,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
2714,добрый день дать территория улица республиканский около дорога два сторона дорога новый республикаеский магазин полёт магазин пятёрочка зарастать бурьян принять мера покос травы. спасибо.,неудовлетворительный содержание клумба газон,Комитет дорожного хозяйства города Курска,3.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1415,"<p>просить сделать рейт масочный режим маршрутка курск-теткино-курск, курск-белгород-курск т.д. ост. льговский поворот. посмотреть ваш масочный режим соблюдать обслуживающий персонал (водитель). ход рейд просить делать фотки.&nbsp;</p><p>с учёт недавно ехать маршрутка 8 пассажир учёт водитель масок, разумеется получиться 5-6 протоколов, успеть надеть маска вид составлять протокол. надеяться понимание, фотоотчет.&nbsp;</p><p> вообще вести неприрывной видео-фиксация дляпотверждение нарушения.&nbsp;</p>",неудовлетворительный санитарный состояние транспорт осуществление муниципальный (пригородных) перевозка,Комитет транспорта и автомобильных дорог Курской области,8.0,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
1180,"<p>просить включить освещения, человек мочь идти осветить тротуар вокзала.</p><p>ый проделать работа просить прислать фотоотчет.</p>",неработающий наружное освещение,Администрация Курчатовского района,3.0,12,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1880,работать часть уличный освещение ул. дейнека,неработающий наружное освещение,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
259,"<p>добрый день! регулировка светофор данный участок светофор главный дорога стать работать некорректно: водитель гореть жёлтый сигнал, пешеход загораться зелёный, происходить одновременный движение автомобиль пешеходов. рядом находиться дворец пионеров, который заниматься тысяча детей. неоднократно мой глаз сбивать людей. просить принять меры, спасибо!</p>",светофор дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2010,"дорога ул. карла маркс сторона п. искра сплошной ямы, ямочный ремонт сделать аба как, шов дорога битумный смесь пролили. просить сделать качественно !!!",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Комитет транспорта и автомобильных дорог Курской области,0.0,63,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
699,"<p>07.06.2021г.филиал пао “квадра-курский генерация ”приступить ремонт тепловой сеть адрес г.курск ул.50 год октябрь 106.разрыли,частичный огородить ремонт закончился,дый настоящий время ремонтный работа проводились.сегодний 27.07.2021г ограждение забрали,ям открыты,из-за обвал существовать угроза человек транспорта. просить принять меры.</p>",несвоевременный восстановление нарушить благоустройство проведение ремонтный работа,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3.0,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1696,"<p>здравствуйте. житель улица попов однократно обращаться администрация город проблема постройка ливневый канализация дать улице. конструктивно улица иметь тротуар вовремя дождь таяние снег улица возможно пройти человек школьник из-за огромный лужи, приходиться преодолевать вброд. просить принять мера решение дать проблемы.</p>",ливневый канализация,Комитет городского хозяйства города Курска,3.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
335,"<p>хотеться сообщить проблеме,которать появиться ул.50 год октября,остановка большевик сторона северо-запада.рядом остановка зелёный забор,так доля &nbsp;этый забор длительный время валяться ветка мусора.ести дать ветка запалит,тый возникнуть пожаро-опастный проблемма.</p>",неудовлетворительный уборка улица тротуар,Администрация города Курска,3.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
926,"<p>очередной сутки подряд сильный вонь грибной радуги, улица невозможно находиться продолжительный время, окно дом открыть нельзя. быть прдпринимать реальный мера нет??? ваш ответ разный исследование расследование результат никакого, вонь была, осталась.&nbsp;</p>",неприятный запах,Комитет природных ресурсов Курской области,16.0,59,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
982,"<p>здравствуйте! заливать весь подьезд ерыш люк чердака. ремонтировать крыша что-то плохо изолировали. заявка телефон 112 я передана. кв. 82 - 4-й этаж. позвонить бобринева лена кв. 85 сообщить проблеме, стена квартира прихожая течь вода мой квартиру. мера сей пора приняты, сожалению. служба 112 сообщить управлять компания следственный комитет. вода затапливать всеквартира подьезде, т.к. заявка др. квартир. благодарить помощь понимание. написать также директ инстаграме.</p>",длительный неисполнение заявка управлять компания,Государственная жилищная инспекция Курской области,3.0,39,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
1631,"<p>здравствуйте. прийти весна из-под снега, год до, лесополоса улица сосновый вылезти тонна мусора. повалить деревья, напротив магазин они огромный количество бутылок, мусора. лес чиститься никогда! ходить гулять ребёнок невозможно, это единственный леска посёлок гулять колясками, укрыться жара очень важный отделение дорога курчатов очистных. наш администрация прилагать никакой усилий,чтоба очистить данный участок лес населения, поэтому каждый год всё приходить негодность, заваливаться мусором.</p><p>очень просить обратить внимание данный проблема решить мероприятие уборка прилегать дорога часть лес дальний полный расчистка сила администрация субботниками, вокруг здание администрация чёрный отметить место больший количество мусора</p>","неудовлетворительный содержание фасад здание сооружений, общественный место",Администрация Курского района,3.0,11,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
210,"<p>добрый день!<br><span style=`background-color:rgb(255,255,255);color:rgb(0,0,0);`>напротить дом №31 №30 ул. ромашковый г.курск укладка асфальт спланировать поверхность (глубокий впадина), который любой дождь заполняться водой. данный вопрос местный власть мочь решить 2017 года!!!! пока думать решать житель ул. ромашковой, проживать городе, ходить работу, школу, магазин пр. резиновый сапогах. просить вмешаться оказать помощь решение проблема человек улицы, данный момент этот проблема стоить особенно остро период обильный проливный дождь таяние снега. заранее благодарна)))</span></p>",нарушение дорожный покрытие (ямы) дорога граница городской округ сельский поселение,Администрация города Курска,0.0,34,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
2647,"здравствуйте, возможно спилить сухой дерево ветка",аварийный дерево,Комитет природных ресурсов Курской области,3.0,59,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
889,<p>ич прийти qr-код</p>,сертификат вакцинировать,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2851,отсутствие люка.,отсутствие люковый коммуникационный колодец,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3.0,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2162,предлагать провести проверка качество данный хлеб соблюдение технология производство целое заводе. хлеб обнаружить мышиный какашка,"неудовлетворительный качество товара, оказание услуга",Комитет агропромышленного комплекса Курской области,13.0,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1367,"<p>почему чистить улица суворовский снега, карман маршрутка почистили? завалить снег ехать уборочный машина оставили!!! маршрутка останавливаться остановка дороге! это мешать машина опасно пассажиров!!! маршрутка метр 4 положить карман паркуется!!! фото указать остановка видео далеко карман остановка стоить маршрутка! стоить просторный дороге! пассажир приходиться перебираться груда снега, который оставить снегоуборочный машина!&nbsp;</p>",очистка снег наледь дорога граница городской округ сельский поселение,Комитет дорожного хозяйства города Курска,0.0,45,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
1600,"<p>здравствуйте. несколько обращаться ук сейм повод свисать проводы козырёк 3 подъезда, провод висят. свисать 3 провода, раздвоить &nbsp;подходить светильник подьездом. жилец опасаться замыкания. проводы попадать окно человек стук невозможный. провод внешний сторона дом подвергаться воздействие осадков, частность воды. посодействовать пожалуйста, провод убрали!!!!&nbsp;</p>",ненадлежащий исполнение управлять компания работа содержание электросеть обеспечение энергоснабжение многоквартирный дом,ООО `УК Сейм`,3.0,76,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1610,"<p>когда сергеевкий фап обновят? здание трещина стенах, протекать крыша, печный отопление. какой условие принимать пациентов? надеяться 2022 год сергеевский фельдшерско-акушерский пункт льговский район заменить новый, комфортный современный.&nbsp;</p><p>ответ жалоба прислать разъяснительный применение факт фапе.&nbsp;</p>",неудовлетворительный качество оказание медицинский помощь,Комитет здравоохранения Курской области,4.0,48,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2934,сбоку дом улкарл маркс 66/8 свалка бытовой строительный мусора.,несанкционированный свалка твёрдый бытовой отход,Комитет городского хозяйства города Курска,16.0,44,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
2828,"адрес : проспект хрущёв 36, расположить два контейнерный площадка мусора. один площадок, который находиться непосредственно рядом сельско-хозяйственный рынком, находиться отвратительный состоянии. контейнер металлический лист (который отделять рынок двора) постоянно подвергаться многочисленный нашествие крыс, который металлический лист добираться мусорный контейнеров, который расположить дворе. неоднократно собственник жильё поступать жалоба соответствующий орган власти, однако реальный мера сей пора принято. опасно заходить двор, т. к. проходить приходиться непосредственно около этот мусорный бак (проживать 1 подъезде, рядом). страшно выкидывать мусор, т.к. такой огромный количество опасный грызун первый очередь бояться свой здоровье. просить принять конкретный меры, т. к. предостережения, смена графика вывоз мусор рынок прочее (этый было) принести никакой результатов.",соответствовать установленный норма сбор вывоз твёрдый бытовой отход район многоквартирный дом,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3.0,68,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
